"id"|"name"|"pictogram_url"|"pictogram_url_dark"|"DataCollectionDate"
"BK3"|"3x3 Basketball"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BK3.avif"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BK3-dark.avif"|"2024-08-04T15:47:40.3081888Z"
"ARC"|"Archery"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/ARC.avif"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/ARC-dark.avif"|"2024-08-04T15:47:40.3081888Z"
"GAR"|"Artistic Gymnastics"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/GAR.avif"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/GAR-dark.avif"|"2024-08-04T15:47:40.3081888Z"
"SWA"|"Artistic Swimming"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SWA.avif"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SWA-dark.avif"|"2024-08-04T15:47:40.3081888Z"
"ATH"|"Athletics"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/ATH.avif"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/ATH-dark.avif"|"2024-08-04T15:47:40.3081888Z"
"BDM"|"Badminton"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BDM.avif"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BDM-dark.avif"|"2024-08-04T15:47:40.3081888Z"
"BKB"|"Basketball"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BKB.avif"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BKB-dark.avif"|"2024-08-04T15:47:40.3081888Z"
"VBV"|"Beach Volleyball"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/VBV.avif"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/VBV-dark.avif"|"2024-08-04T15:47:40.3081888Z"
"BOX"|"Boxing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BOX.avif"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BOX-dark.avif"|"2024-08-04T15:47:40.3081888Z"
"BKG"|"Breaking"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BKG.avif"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BKG-dark.avif"|"2024-08-04T15:47:40.3081888Z"
"CSL"|"Canoe Slalom"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/CSL.avif"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/CSL-dark.avif"|"2024-08-04T15:47:40.3081888Z"
"CSP"|"Canoe Sprint"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/CSP.avif"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/CSP-dark.avif"|"2024-08-04T15:47:40.3081888Z"
