"id"|"name"|"continent"|"flag_url"|"gold_medals"|"silver_medals"|"bronze_medals"|"total_medals"|"rank"|"rank_total_medals"|"DataCollectionDate"
"UGA"|"Uganda"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/UGA.png"|"1"|"0"|"0"|"1"|"35"|"46"|"2024-08-04T15:47:58.5166838Z"
"MEX"|"México"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/MEX.png"|"0"|"2"|"1"|"3"|"44"|"29"|"2024-08-04T15:47:58.5166838Z"
"PRK"|"RPD da Coréia"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/PRK.png"|"0"|"2"|"1"|"3"|"44"|"29"|"2024-08-04T15:47:58.5166838Z"
"GRE"|"Grécia"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/GRE.png"|"0"|"1"|"4"|"5"|"46"|"20"|"2024-08-04T15:47:58.5166838Z"
"POL"|"Polônia"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/POL.png"|"0"|"1"|"3"|"4"|"47"|"22"|"2024-08-04T15:47:58.5166838Z"
"JAM"|"Jamaica"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/JAM.png"|"0"|"1"|"1"|"2"|"48"|"35"|"2024-08-04T15:47:58.5166838Z"
"KOS"|"Kosovo"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/KOS.png"|"0"|"1"|"1"|"2"|"48"|"35"|"2024-08-04T15:47:58.5166838Z"
"TUR"|"Türkiye"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/TUR.png"|"0"|"1"|"1"|"2"|"48"|"35"|"2024-08-04T15:47:58.5166838Z"
"ARM"|"Armênia"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/ARM.png"|"0"|"1"|"0"|"1"|"51"|"46"|"2024-08-04T15:47:58.5166838Z"
"DEN"|"Dinamarca"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/DEN.png"|"0"|"1"|"0"|"1"|"51"|"46"|"2024-08-04T15:47:58.5166838Z"
"ETH"|"Etiópia"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/ETH.png"|"0"|"1"|"0"|"1"|"51"|"46"|"2024-08-04T15:47:58.5166838Z"
"FIJ"|"Fiji"|"OCE"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/FIJ.png"|"0"|"1"|"0"|"1"|"51"|"46"|"2024-08-04T15:47:58.5166838Z"
"MGL"|"Mongólia"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/MGL.png"|"0"|"1"|"0"|"1"|"51"|"46"|"2024-08-04T15:47:58.5166838Z"
"TUN"|"Tunísia"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/TUN.png"|"0"|"1"|"0"|"1"|"51"|"46"|"2024-08-04T15:47:58.5166838Z"
"IND"|"Índia"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/IND.png"|"0"|"0"|"3"|"3"|"57"|"29"|"2024-08-04T15:47:58.5166838Z"
"DOM"|"República Dominicana"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/DOM.png"|"0"|"0"|"2"|"2"|"58"|"35"|"2024-08-04T15:47:58.5166838Z"
"MDA"|"Moldova"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/MDA.png"|"0"|"0"|"2"|"2"|"58"|"35"|"2024-08-04T15:47:58.5166838Z"
"TJK"|"Tajiquistão"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/TJK.png"|"0"|"0"|"2"|"2"|"58"|"35"|"2024-08-04T15:47:58.5166838Z"
"AUT"|"Áustria"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/AUT.png"|"0"|"0"|"1"|"1"|"61"|"46"|"2024-08-04T15:47:58.5166838Z"
"CPV"|"Cabo Verde"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/CPV.png"|"0"|"0"|"1"|"1"|"61"|"46"|"2024-08-04T15:47:58.5166838Z"
"EGY"|"Egito"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/EGY.png"|"0"|"0"|"1"|"1"|"61"|"46"|"2024-08-04T15:47:58.5166838Z"
"SVK"|"Eslováquia"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/SVK.png"|"0"|"0"|"1"|"1"|"61"|"46"|"2024-08-04T15:47:58.5166838Z"
"GRN"|"Granada"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/GRN.png"|"0"|"0"|"1"|"1"|"61"|"46"|"2024-08-04T15:47:58.5166838Z"
"INA"|"Indonésia"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/INA.png"|"0"|"0"|"1"|"1"|"61"|"46"|"2024-08-04T15:47:58.5166838Z"
"LTU"|"Lituânia"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/LTU.png"|"0"|"0"|"1"|"1"|"61"|"46"|"2024-08-04T15:47:58.5166838Z"
"MAS"|"Malásia"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/MAS.png"|"0"|"0"|"1"|"1"|"61"|"46"|"2024-08-04T15:47:58.5166838Z"
"POR"|"Portugal"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/POR.png"|"0"|"0"|"1"|"1"|"61"|"46"|"2024-08-04T15:47:58.5166838Z"
"AFG"|"Afeganistão"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/AFG.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"ALB"|"Albânia"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/ALB.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"AND"|"Andorra"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/AND.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"ANG"|"Angola"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/ANG.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"ANT"|"Antígua e Barbuda"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/ANT.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"KSA"|"Arábia Saudita"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/KSA.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"ARU"|"Aruba"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/ARU.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"BAH"|"Bahamas"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BAH.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"BRN"|"Bahrein"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BRN.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"BAN"|"Bangladesh"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BAN.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"BAR"|"Barbados"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BAR.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"BIZ"|"Belize"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BIZ.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"BEN"|"Benim"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BEN.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"BER"|"Bermudas"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BER.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"BOL"|"Bolívia"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BOL.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"BIH"|"Bósnia e Herzegovina"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BIH.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"BOT"|"Botswana"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BOT.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"BRU"|"Brunei Darussalam"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BRU.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"BUL"|"Bulgária"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BUL.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"BUR"|"Burkina Faso"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BUR.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"BDI"|"Burundi"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BDI.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"BHU"|"Butão"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BHU.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"CMR"|"Camarões"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/CMR.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"CAM"|"Camboja"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/CAM.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"QAT"|"Catar"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/QAT.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"CHA"|"Chade"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/CHA.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"CYP"|"Chipre"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/CYP.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"COL"|"Colômbia"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/COL.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"COM"|"Comores"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/COM.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"CGO"|"Congo"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/CGO.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"COK"|"Ilhas Cook"|"OCE"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/COK.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"CRC"|"Costa Rica"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/CRC.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"CIV"|"Côte d'Ivoire"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/CIV.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"CUB"|"Cuba"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/CUB.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"DJI"|"Djibuti"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/DJI.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"ESA"|"El Salvador"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/ESA.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"UAE"|"Emir. Árabes Unidos"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/UAE.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"ERI"|"Eritreia"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/ERI.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"EST"|"Estônia"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/EST.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"FIN"|"Finlândia"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/FIN.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"GAB"|"Gabão"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/GAB.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"GAM"|"Gâmbia"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/GAM.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"GHA"|"Gana"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/GHA.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"GUM"|"Guam"|"OCE"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/GUM.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"GUY"|"Guiana"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/GUY.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"GUI"|"Guiné"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/GUI.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"GEQ"|"Guiné Equatorial"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/GEQ.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"GBS"|"Guiné-Bissau"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/GBS.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"HAI"|"Haiti"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/HAI.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"HON"|"Honduras"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/HON.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"YEM"|"Iêmen"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/YEM.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"CAY"|"Ilhas Cayman"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/CAY.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"MHL"|"Ilhas Marshall"|"OCE"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/MHL.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"MRI"|"Ilhas Maurício"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/MRI.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"SOL"|"Ilhas Salomão"|"OCE"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/SOL.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"IVB"|"Ilhas Virgens Brit."|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/IVB.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"ISV"|"Ilhas Virgens EUA"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/ISV.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"IRI"|"Repúb. Islâmica Irã"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/IRI.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"IRQ"|"Iraque"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/IRQ.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"ISL"|"Islândia"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/ISL.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"JOR"|"Jordânia"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/JOR.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"KEN"|"Quênia"|"AFR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/KEN.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
"KGZ"|"Quirguistão"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/KGZ.png"|"0"|"0"|"0"|"0"|"0"|"0"|"2024-08-04T15:47:58.5166838Z"
